rank,handler,call_name,registered_name,size,country,mu,sigma,displayed_rating,tier,provisional,num_runs,last_competition
428,Dominika Gawińska,Lizzie,,Small,POL,25.5298,5.2352,1393.0,Competitor,true,9,"Polish Open SOFT 2024 (XS, S & M)"
429,Elke Mauws,Emira,,Small,BEL,25.5527,5.2466,1392.5,Competitor,true,9,EO 2025
430,Jana Šedivá,Paty,,Small,CZE,28.1653,6.118,1392.5,Competitor,true,6,"Polish Open SOFT 2025 (XS, S & M)"
431,Nadine Hartlieb,Pebbles,,Small,DEU,27.252,5.8158,1392.2,Competitor,true,7,Norwegian Open 2025
432,Angela Koopman,Miss Bootz,,Small,NLD,25.4925,5.2411,1390.8,Competitor,true,9,Dutch Open 2025
433,Bászler Emese,Nala,Mystic Moonlight Black L'Amour Nala,Small,HUN,21.2615,3.8353,1390.2,Competitor,false,15,Slovenian Open 2025
434,Lydia Karakonstanti,,Rokkitassun Apple of my Eye,Small,ITA,24.657,4.9707,1389.8,Competitor,true,10,AWC 2025
435,Iida Vakkuri,CIMILLAN JESTASSENTÄÄN,,Small,FIN,23.9452,4.7345,1389.7,Competitor,true,11,Midsummer Dog Sports Festival 2024
436,Sarah Rutland,Primo,,Small,USA,23.2056,4.4878,1389.7,Competitor,true,12,Norwegian Open 2025
437,Linda Loikkanen,Lyx,Be Mine Of Impressive Twilight,Small,FIN,21.3109,3.8569,1389.6,Competitor,false,15,EO 2024
438,Daniela Juwan,Trudy,My Magic Going For The Win Trudy,Small,AUT,20.6708,3.6501,1388.8,Competitor,false,16,Slovenian Open 2025
439,Zanella Valentina,Sandybell,,Small,ITA,24.6498,4.9776,1388.7,Competitor,true,10,Austrian Agility Open 2025
440,Jo Gleed,Sinner,,Small,GBR,27.1509,5.8138,1388.4,Competitor,true,7,AWC 2024
441,Corinne Gysin,Hakuna Matata,Hakuna Matata a bolt from the Blue,Small,CHE,22.5326,4.2745,1388.4,Competitor,true,13,EO 2025
442,Jan Lok,Jacey,,Small,NLD,26.2787,5.5271,1387.9,Competitor,true,8,EO 2025
443,Favari Cintia,Jumi,Unexpected Love of Summergarden,Small,HUN,23.8229,4.7098,1387.7,Competitor,true,11,AWC 2025
444,Karolína Mikušová,Nikolett,,Small,SVK,27.1401,5.8197,1387.2,Competitor,true,7,EO 2025
445,Michaela  Bělková,,Ever After Etty Bambabibi,Small,,23.8703,4.7322,1387.0,Competitor,true,11,Moravia Open 2025
446,Melicharová Kateřina,Hexie,,Small,CZE,25.3908,5.2435,1386.4,Competitor,true,9,Prague Agility Party 2024
447,Elizaveta Kukarskikh,Zhora,,Small,SRB,23.7997,4.7197,1385.6,Competitor,true,11,Slovenian Open 2025
448,Kasia Grupa,Heca,,Small,POL,25.3737,5.2464,1385.4,Competitor,true,9,"Polish Open SOFT 2025 (XS, S & M)"
449,Heather Witt,Rowan,Foxpoint Ash And Elm And Rowan Too,Small,USA,26.212,5.5282,1385.1,Competitor,true,8,JOAWC/SOAWC 2025
450,Adlboller Claudia,Peppermint,Peppermint von Mehrental,Small,,24.523,4.9834,1382.9,Competitor,true,10,Austrian Agility Open 2025
451,Monique Hubrechts,Lucky,,Small,,25.2781,5.236,1382.8,Competitor,true,9,Dutch Open 2025
452,Aleksandr Borisov,,AMBERYNLEA GONDEN WISHES,Small,,26.1036,5.521,1381.6,Competitor,true,8,Midsummer Dog Sports Festival 2025
453,Blahoušková Eva,Coletka,Coletka Pleasure of Friendship,Small,CZE,21.7037,4.0568,1381.3,Competitor,true,14,Prague Agility Party 2025
454,Line Hvass Nielsen,Chloe,Mittlines Cry For A Shadow,Small,DNK,21.6511,4.0473,1380.4,Competitor,true,14,AWC 2025
455,Adriana Silvestrini,Cindy Crawford,Cindy Crawford Dream D&D Jack Cindy,Small,CHE,25.2342,5.2418,1380.3,Competitor,true,9,Slovenian Open 2025
456,Matrasová Kristýna,Cairo,Cairo Sky Falls Angels,Small,CZE,24.3627,4.9574,1379.6,Competitor,true,10,EO 2025
457,Svetlana Kreslina,Chi,,Small,LVA,27.8475,6.1226,1379.2,Competitor,true,6,EO 2025
458,Signy-elise Løvdal,Alva,Shatenas Unique Alva of Paris,Small,NOR,26.7909,5.7886,1377.0,Competitor,true,7,Norwegian Open 2025
459,Dora Fekete,,Escoliar D’Oro Heimdall,Small,HUN,25.0536,5.2092,1377.0,Competitor,true,9,AWC 2025
460,Taavi Vaino,Adamin,Zicere Agile Adamin,Small,EST,24.3714,4.9868,1376.4,Competitor,true,10,JOAWC/SOAWC 2024
461,Silvia Kohler,FCI,Cassis noir du paradis des castors,Small,CHE,26.8631,5.8187,1376.3,Competitor,true,7,JOAWC/SOAWC 2025
462,Nele WEYMEERSCH,Pelé,,Small,FIN,24.2641,4.9531,1376.2,Competitor,true,10,Dutch Open 2025
463,Kathrin Nielsen,Bo,,Small,DEU,21.5621,4.059,1375.4,Competitor,true,14,"Polish Open SOFT 2025 (XS, S & M)"
464,Krauskopfová Lucie,Oriška,,Small,CZE,25.1183,5.2445,1375.4,Competitor,true,9,Prague Agility Party 2024
465,Hanna Degerman,,TINY CHOICE ORTENSIA,Small,FIN,25.0382,5.2178,1375.4,Competitor,true,9,Midsummer Dog Sports Festival 2025
466,Lucie Frimmelová,,A3Ch True Love Tiffany vom Mehrental,Small,CZE,26.7976,5.8082,1374.9,Competitor,true,7,Prague Agility Party 2025
467,Małgorzata Riedel,Lucky,Lucky Luke Lindeza Fci,Small,POL,25.099,5.2456,1374.5,Competitor,true,9,"Polish Open SOFT 2024 (XS, S & M)"
468,Jitka Drobečková,,A3Ch Avintos Flyerisa,Small,CZE,26.7585,5.8064,1373.6,Competitor,true,7,Prague Agility Party 2025
469,Petra Hamsikova,Tali,,Small,CZE,26.7742,5.8128,1373.4,Competitor,true,7,"Polish Open 2024 (XS, S & M)"
470,Elena Medová,,Di Wonder Woman Rose speedlight,Small,,22.8125,4.4946,1373.2,Competitor,true,12,Moravia Open 2025
471,Barbara Feer,Panfeng,Nightfire's Big And Beautiful,Small,CHE,25.8767,5.5278,1371.7,Competitor,true,8,EO 2024
472,Divisova Alena,Good Girl,Good Girl Dai Muratori,Small,CZE,25.0315,5.2466,1371.7,Competitor,true,9,AWC 2025
473,Christian Di Geronimo,,JESSICA FLETCHER DELLA LINEA DEI PENSIERI,Small,ITA,27.6013,6.109,1371.0,Competitor,true,6,ProsecCup 2025
474,Rebecca Potosky,,Blue Cedar Hearts Ignite,Small,ITA,23.464,4.7328,1370.6,Competitor,true,11,Midsummer Dog Sports Festival 2024
475,Sheryl Gaub,Scape,Together Forever Koryfej,Small,LUX,25.7999,5.5219,1369.4,Competitor,true,8,AWC 2025
476,Sofia Maria Papavero,,NICHA SURPRISE LADY IN BLUE,Small,ITA,27.5566,6.1082,1369.3,Competitor,true,6,ProsecCup 2025
477,Prospero Pisto,Nancy,,Small,ITA,26.6798,5.819,1368.9,Competitor,true,7,JOAWC/SOAWC 2025
478,Martina Sigmundová,,Arisha Little Sweetie,Small,CZE,26.5707,5.7862,1368.5,Competitor,true,7,Moravia Open 2025
479,Strouhová Luba,Eli.,,Small,CZE,24.9402,5.2443,1368.3,Competitor,true,9,Prague Agility Party 2024
480,Vesa Laikko,Huhu,,Small,FIN,27.5351,6.1092,1368.3,Competitor,true,6,Norwegian Open 2025
481,Sabina Bottari,Camillo,Wacky Race's Gang Camillo,Small,ITA,26.6443,5.8153,1367.9,Competitor,true,7,AWC 2025
482,Benoit Lambrigts,Rey,,Small,BEL,25.7738,5.5263,1367.8,Competitor,true,8,EO 2025
483,Adrián Botka,,NRebelona Diabla z koloru,Small,SVK,27.5033,6.1087,1367.1,Competitor,true,6,Moravia Open 2025
484,Parl Piret,Jacky,Brie One In A Million,Small,CZE,24.9034,5.2445,1366.8,Competitor,true,9,Prague Agility Party 2024
485,Svenja Mund,Pickett,,Small,DEU,23.3367,4.7235,1366.6,Competitor,true,11,"Polish Open 2026 (XS, S & M)"
486,Jose Martínez Moreno,Newton,,Small,ESP,26.608,5.8193,1366.0,Competitor,true,7,JOAWC/SOAWC 2025
487,Pau Serrano Ciratusa,Nairobi,,Small,ESP,26.4959,5.794,1364.6,Competitor,true,7,Prague Agility Party 2025
488,Monika Adamson,Lili,,Small,EST,24.0556,4.986,1363.9,Competitor,true,10,"Polish Open 2025 (XS, S & M)"
489,Zita Kralíkova,Keksík,,Small,CZE,26.5111,5.8113,1363.1,Competitor,true,7,"Polish Open 2024 (XS, S & M)"
490,Sofie Lourié,Bagge,Sofalex Bagare Bobson,Small,SWE,23.255,4.7263,1363.0,Competitor,true,11,EO 2025
491,Samantha Klünder,Safiro,,Small,DEU,24.813,5.2484,1362.7,Competitor,true,9,"Polish Open 2025 (XS, S & M)"
492,Margraf Lisa,Inchi,,Small,DEU,24.7997,5.2441,1362.7,Competitor,true,9,Prague Agility Party 2024
493,Martina Konečná,Sofinka,,Small,CZE,25.4101,5.4492,1362.5,Competitor,true,8,"Polish Open 2026 (XS, S & M)"
494,Julie Krátká,Joya,,Small,CZE,22.522,4.4887,1362.2,Competitor,true,12,"Polish Open 2025 (XS, S & M)"
495,Louise Godwin,Drift,The Fate Of The Furious,Small,GBR,24.7917,5.2472,1362.0,Competitor,true,9,EO 2025
496,Niina Laukkanen,,CARINOSTAFF ABOVE HEAVEN,Small,,25.5725,5.508,1361.9,Competitor,true,8,Midsummer Dog Sports Festival 2025
497,Aleksandra Švaikovska,Kayo,KitFox Youkai Kayo,Small,LVA,21.1936,4.0498,1361.8,Competitor,true,14,"Polish Open SOFT 2025 (XS, S & M)"
498,Tobias Wüst,Heidi,Heidi with eager to work,Small,DEU,24.7542,5.241,1361.3,Competitor,true,9,AWC 2025
499,Hana Frimelová,Bio,Perfect Bio Stars Power Dogs,Small,CZE,24.7573,5.2423,1361.2,Competitor,true,9,AWC 2024
500,Hilda Schriek,Betty Boop,,Small,,24.7241,5.2371,1360.5,Competitor,true,9,Dutch Open 2025
501,Kaylee van der Reijden,Harley,,Small,,24.7108,5.2366,1360.0,Competitor,true,9,Dutch Open 2025
502,Maarit Niemelä,FELICIA,,Small,FIN,20.3297,3.7774,1359.9,Competitor,false,15,Midsummer Dog Sports Festival 2025
503,Jenna Olli,,JACKXELLENT BRITNEY ANN,Small,,23.8932,4.9667,1359.7,Competitor,true,10,Midsummer Dog Sports Festival 2024
504,Chloe Cooper,Sweep,Aint He Sweep,Small,GBR,26.4242,5.8184,1358.8,Competitor,true,7,JOAWC/SOAWC 2025
505,Daša Zakotnik,Joki,Baldemar Go with Moanaparas Joki,Small,SVN,26.376,5.8036,1358.6,Competitor,true,7,Slovenian Open 2025
